exhibitor_id,name,booths,hall,description,seeking_funding,funding_amount,investment_stage,revenue,logo_file,featured,tags
001Pp00001SQnfZIAT,75way Technologies Pvt. Ltd.,8700,A,"75way offers a broad range of digital software services serving Enterprise, SME's, Startup Industries:  AI/ML Software Development   Web applications & software development.  Mobile application development.  Custom software applications and startup solution support.  Blockchain applications.   IOT App Development",No,,,,001Pp00001SQnfZIAT.png,,
0013A00001YYUWYQA5,ABEYE,60601,M,"ABEYE is a neuroscience deeptech focusing on the neurovisual system. Backed by award-winning science, our products instantaneously improve reading comfort for people with reading challenges (CES award 2020). ABEYE exhibits Lexilens screen, a PC monitor embedding the Lexilens technology.  Advancing inclusion in education and the workplace.",No,,,,0013a00001yyuwyqa5.png,,
001Pp000003MuMoIAK,ACE Ontario Tech University,4566,NN,"ACE is North America’s premier Climatic Testing Facility. Creating controlled and repeatable weather in a full-scale lab environment is what we do. We can create -40C to +60C as well as wind, rain, snow and fog in our Climatic Wind Tunnel. ACE has the facility and the expertise that companies need to develop & validate their products.",,,,,001Pp000003MuMoIAK.jpg,,
001Pp00000p9egoIAA,AIsolution,50763,X,"Leading the Paradigm of Learning and Meeting Solutions for AI Smart Classrooms and Offices    We are evolving into a global artificial intelligence convergence development company, delivering the best value to customers through AI smart education and meeting solutions.",,,,,001Pp00000p9egoIAA.png,,
0013000001KaLvdAAF,American Registry For Internet Numbers (ARIN),10579,A,"ARIN is the nonprofit corporation that manages the distribution of Internet number resources – IPv4, IPv6, and Autonomous System Numbers (ASNs) – in many Caribbean and North Atlantic islands, Canada, and the United States. For more information about ARIN services, routing security, policy development and more visit www.arin.net.",No,,,,0013000001KaLvdAAF.png,,
001Pp0000056RKQIA2,AMFITRACK™,14717d,B,"AMFITRACK™ is an embedded stand-alone, high precision, low-cost electromagnetic tracking system. The AMFITRACK™ system positions an object in 3D, outputting the absolute position (XYZ) and orientation (pitch/yaw/roll) of the system components relative to each other, making it a true (6DOF) electromagnetic tracking system.",,,,,001Pp0000056RKQIA2.png,,
0013000001LYDq8AAH,"ArcherMind Technology (Nanjing) Co., Ltd.",Westgate Hospitality Suites,N,"Founded in 2006 and headquartered in Nanjing, ArcherMind targets to be a global intelligent OS leader.  Mainly concentrates on technology research & development and solution services in the fields of automotive, intelligent terminals, AI, IoT and Mobile Internet.ArrayMo is specialized in R&D of intelligent vehicle OS-related products.",No,,,,0013000001LYDq8AAH.png,,
001Pp000003o1tgIAA,Archi's Academy,63432,M,"Archi’s Academy is an AI-powered experiential assessment platform that helps companies evaluate developers through real-world, GitHub-integrated projects, rather than traditional coding tests. We bridge the gap between learning and hiring by partnering with accelerators, universities, and HR platforms to identify job-ready talent.",Yes,250;000-2;000;000,Seed,<500;000,001Pp000003o1tgIAA.png,,
001Pp00001O5tDfIAJ,Auria Robotics Inc,61035,M,"We deliver a native AI platform and modular companion robot to support children with autism. Our solution offers affordable, personalized, and engaging learning across homes, schools, and clinics, bridging the autism care gap with adaptive, emotion-aware technology. Built by the autism community, backed by AI experts, and ready to scale.",Yes,<250;000,Pre-seed,501;000-1;000;000,001Pp00001O5tDfIAJ.jpg,,
001Pp00001VQMKJIA5,Beespenser,63432,M,"Beespenser develops advanced micro-dispensing systems that enable rapid prototyping of functional circuits on flexible or rigid surfaces. Our flagship product, Monobee, combines precision printing, drilling, and curing in one platform, transforming how electronics are designed, validate, and evolved.",Yes,2;000;001-15;000;000,Seed,<500;000,001Pp00001VQMKJIA5.png,,
