exhibitor_id,name,booths,hall,description,seeking_funding,funding_amount,investment_stage,revenue,logo_file,featured,tags
001Pp00001VxGIyIAN,0x Limited,63200,M,0xmd is a Healthcare & Medical Generative AI company dedicated to improve patient care and medical diagnostics through Large Language Models (LLMs) and Large Vision Language Models (LvLM); to provide innovative solutions to tackle health-related challenges and make healthcare resources more equitable and accessible by use of technology.,Yes,2;000;001-15;000;000,Seed,<500;000,001Pp00001VxGIyIAN.jpg,,
001Pp00001ULJ15IAH,"AIMneXt Co., Ltd.",50123,X,"AIMNEXT spun off from AIMMED in 2024 to specialize in the R&D and commercialization of Digital Therapeutics (DTx). We aim to improve healthcare outcomes by providing evidence-based, safe, effective, and equitable software interventions for patients. We plan to showcase our fertility improvement healthcare service at CES 2026.",No,,,,001Pp00001ULJ15IAH.jpg,,
001Pp00001R792DIAR,"AirLab Co.,Ltd.",50332,X,"We are a manufacturer specializing in “respiratory healthcare” products for the human nasal and oral cavities, as well as “health & beauty care” products for nail and foot callus management.  1) Nose Mask Nose Air Clean  2) Anti-Snoring Device ""YES BREATH7“  3) Endoscopy Mouthpiece “AirLab Air-piece”   4) GLASS NAIL SHINER  5) Glass Foot File",Yes,2;000;001-15;000;000,Series A,<500;000,001Pp00001R792DIAR.png,,
001Pp00001WpHTjIAN,Aitronics Inc.,62201,M,"Aitronics advances AI and optical tech for non-invasive diagnostics like glucose monitoring, aiming to deliver safer, more efficient healthcare solutions.",No,,,,001Pp00001WpHTjIAN.jpg,,
0013000001KaLvDAAV,Analog Devices,5475; W237; W238,NN; EE; EE,"Global semiconductor leader ADI bridges physical & digital worlds to enable breakthroughs at the Intelligent Edge. From sensing & interpreting to decision making, ADI delivers physical intelligence solutions for demanding environments, enabling autonomous factories, intelligent robotics, next-gen vehicles & predictive healthcare systems.",No,,,,0013000001KaLvDAAV.png,,
0013A00001Uad3VQAR,Antenova,10576,A,"Antenova is a leading supplier of high-performance antennas & RF solutions since 2001.   We provide comprehensive design advice, technical support & testing service. We have supplied the world with easy-to-integrate antennas for all kinds of wireless IoT applications, from smart cities/homes, connected healthcare, industry & wearables.",No,,,,0013A00001Uad3VQAR.jpg,,
001Pp000004QGJnIAO,"AsiaRF Co., Ltd.",10676,A,"AsiaRF, a leader in wireless networking and IoT, specializes in innovative ODM services, enhancing global connectivity with advanced solutions like the Wi-Fi CERTIFIED HaLow IoT gateway, Wi-Fi 6E and Wi-Fi 7 modules, addressing diverse industrial and healthcare needs.",,,,,001Pp000004QGJnIAO.jpg,,
0013A00001ehiEwQAI,B-Horizon GmbH,51242,X,"B-Horizon’s B-Neo sensors imitate human skin, setting new standards for digital interaction, healthcare, gaming, and robotics. Integrated into B-TacTix motion-capture gaming gloves, they deliver a completely new way to experience gameplay.",Yes,2;000;001-15;000;000,Seed,501;000-1;000;000,0013A00001ehiEwQAI.png,,
001Pp00000mnyNeIAI,"B2LAB Co., Ltd.",61453,M,B2LAB provides comprehensive medical device solutions that leverage advanced laser and electromagnetic technologies. These solutions cover a range of applications from home healthcare to specialized medical devices.,No,,,,001Pp00000mnyNeIAI.jpg,,
001Pp00000a1x6BIAQ,"Beijing QingSong Health Network Technology Co, Ltd",54403,X,"QingSong Health Corporation（轻松健康集团）is a one-stop platform focused on providing digital integrated healthcare and health insurance solutions in China.We strive to build protection and support for people in need with a suite of accessible, targetable and affordable healthcare solutions.",Yes,>50;000;000,Series C and beyond,> 1;000;000,001Pp00000a1x6BIAQ.png,,
0013000001N8bYzAAJ,Bodyfriend,17738,B,"BODYFRIEND is a global healthcare company focused on extending healthy life expectancy by 10 years. Through advanced robotics, design, and medical R&D, we create innovative products that enhance well-being. Our mission goes beyond massage chairs, aiming to provide sensible luxury and improve life quality with groundbreaking technology.",,,,,0013000001N8bYzAAJ.png,,
001Pp00000bOWz7IAG,BruxMed LLC,54601,X,"VibeBrux™ is a revolutionary wellness smart nightguard that not only protects teeth from grinding but also tracks details on grinding from 3 different zones, sleep apnea, heart rate, breathing, temperature, oxygen levels, and sleep cycles. It empowers users and healthcare providers with insights for overall wellness.",Yes,250;000-2;000;000,Seed,<500;000,001Pp00000bOWz7IAG.jpg,,Business Cards
001Pp00000FKCsnIAH,"Changzhou Chaoyisheng Electronic Tech Co., Ltd.",8300,A,"Agile Fractional International Agency offers on-demand executive expertise for manufacturing, logistics, and healthcare sectors. Our team delivers strategic insights and practical leadership to enhance operations and productivity. We provide flexible support that adapts to your business needs.",No,,,,001pp00000fkcsniah.jpg,,
0013000001N8bD2AAJ,"Charmcare Co., Ltd.",54309,X,CHARMCARE is a Korean manufacturing company that develops the Wearable Blood Pressure Monitor which can be used Anytime & Anywhere.    The Easiest Healthcare Monitoring in the World. H2-BP and H2-ABPM!,,,,,0013000001N8bD2AAJ.png,,
0013000001KaMCeAAN,"Chois Technology Co., Ltd.",50523,X,"CHOISTECHNOLOGY CO., LTD. develops IoMT-based medical devices, including ThermoSafer, a non-invasive wireless core body temperature monitor for hospitals and home care. We enhance patient safety with continuous, accurate monitoring and smart healthcare innovation.",Yes,15;000;001-50;000;000,Seed,501;000-1;000;000,0013000001KaMCeAAN.jpg,,
0013A00001QkxItQAJ,CMI Health Inc.,54611,X,"CMI Health, Inc. is dedicated to providing innovative, convenient, and affordable patient monitoring devices and cloud-based solutions for medical professionals in healthcare facilities and consumers at home.",,,,,0013A00001QkxItQAJ.png,,
0014V00003pOlHfQAK,Cobionix,50755,X,"Cobionix is developing an autonomous robotics platform for procedural tasks. Our AI-native robot addresses the labour shortage in healthcare, manufacturing, logistics, and other industries. Built with scalability in mind, all the sensors and AIs are embedded upfront. Only a simple tool change and OTA software update is required.",,,,,0014V00003pOlHfQAK.png,,
001Pp00000kScyAIAS,"ConnectedIn Co., Ltd.",55430,X,"A digital healthcare platform providing personalized care tailored to individual needs. In partnership with Yonsei Univ. Wonju Severance Christian Hospital, we connect patients and physicians via advanced AI technology. DiaFootCare enables early detection and management of diabetic foot, monitoring foot health and diet with AI insights.",,,,,001Pp00000kScyAIAS.png,,
0013A00001QDWXtQAP,Covestro,4066; Venetian Palazzo Hospitality Suites,NN; U,"Covestro is one of the world's leading manufacturers of high-quality polymer materials and their components. Our advanced polymer solutions enable lighter, more durable, and sustainable designs across automotive, healthcare, consumer electronics, and industrial sectors.",No,,,,0013A00001QDWXtQAP.png,,
0013000001JxrGfAAJ,Dassault Systemes Americas Corp.,8705,A,"Virtual twin experiences open up new possibilities for Life Sciences and Healthcare - enabling us to invent new ways of representing life, by understanding and representing the invisible. Dassault Systemes delivers virtual twin experiences for sustainable innovation – helping people live longer, healthier, happier lives.",No,,,,0013000001JxrGfAAJ.png,,
0014V000046BOMFQA4,DeepIntent,Aria Hospitality Suites,AA,"Proven to drive higher audience quality and script lift, DeepIntent's healthcare demand side platform empowers marketers to plan, activate, measure, and optimize patient and HCP programmatic campaigns, all within a single platform.",,,,,0014V000046BOMFQA4.png,,
001Pp00001Vz3ugIAB,Dentomi Limited,63200,M,"Dentomi Limited is an oral health-tech pioneer transforming oral healthcare with AI-powered solutions. Founded in 2023, we empower consumers and service providers with accessible, scalable, and preventive tools for early oral health detection, which can be tailored for both high-growth and mature markets.",Yes,250;000-2;000;000,Seed,<500;000,001Pp00001Vz3ugIAB.png,,
001Pp00001WeYCxIAN,DRESIO Limited,50732,X,"DRESIO is Asia's leading musculoskeletal (MSK) health technology company, leveraging computer vision AI to revolutionize preventive care and reduce healthcare costs. Our proprietary technology transforms ordinary webcams into biomechanics assessment tools, enabling automated physiotherapy assessment without expensive equipment.",Yes,2;000;001-15;000;000,Seed,<500;000,001Pp00001WeYCxIAN.png,,
0014V00002JI3PsQAL,"EKLEER Co., Ltd.",50523,X,"EKLEER, a CES Innovation Award winner, develops smart displays that transform Android phones into full desktop workstations. Designed for emerging markets and mobile-first users, EKLEER enables affordable digital access to education, work, and healthcare.",Yes,<250;000,Seed,<500;000,0014V00002JI3PsQAL.png,,
0014V00001garf5QAA,"Emma Healthcare Co,Ltd.",50017,X,"We're a biomedical engineering company based in South Korea, founded in 2017.   Using our pioneering biomedical research & technology, we specialize in creating products that intuitively improve our quality of life. Our recent product BebeLucy, an AI-powered baby bassinet, has been awarded the CES2022, 2023, 2024 Innovation Award.",,,,,0014V00001garf5QAA.jpg,,
001Pp00000jtvmwIAA,EX HEALTHCARE INC.,50017,X,"EX Healthcare is a pioneering company specializing in medical AI solutions, developing applications that utilize artificial intelligence to enhance diagnostic accuracy and improve patient care. Founded with the mission of integrating technology with health, we strive to bring advanced healthcare solutions directly to patients worldwide.",,,,,001Pp00000jtvmwIAA.png,,
001Pp00001JsTuVIAV,Ezymind Healthcare Private Limited,61234,M,,,,,,,,
0013000001CyiPhAAJ,Formlabs,15425G,B,"Formlabs builds the tools that make it possible for anyone to bring their ideas to life. Headquartered in Somerville, Mass. With offices across the globe, Formlabs is the professional 3D printer of choice for engineers, designers, healthcare providers, manufacturers, and decision-makers. Formlabs’ products include SLA and SLS 3D printers.",No,,,,0013000001CyiPhAAJ.png,,
001Pp00001LoUfpIAF,"Gemss Healthcare Co., Ltd.",8878,A,"GEMSS HEALTHCARE is a trusted global manufacturer of diagnostic imaging systems, specializing in advanced C-arm and digital X-ray technologies. With OEM and ODM partnerships in over 50 countries, we continue to grow with our customers. Through AI and telemedicine, we lead innovation in global healthcare.",No,,,,001Pp00001LoUfpIAF.png,,
0014V000046QIo2QAG,Gwangju City,50335,X,"Gwangju is a city of democracy, human rights, and peace. Gwangju city is developing into a leading economic city by fostering industries in AI, mobility, and energy as future industries. We introduce 11 innovative companies in the field of AI-based healthcare, contents, and home appliances that share the future of Gwangju city.",,,,,0014V000046QIo2QAG.jpg,,
